product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal,high,low,AO,open,RVI,RVI_Signal
BTC-USD,65405.35,0.0301,2024-06-20 13:48:25.990682+00:00,BUY,65405.36,65405.37,65421.65717457414,65435.34880204805,-13.691627473912376,-9.875249080094298,65471.19,65405.35,,65410.45,-0.079097153385143,-0.1252174231831688
BTC-USD,65399.05,1.526e-05,2024-06-20 13:48:27.438041+00:00,SELL,65399.07,65401.51,65418.17914771658,65432.66000189634,-14.480854179761081,-10.796370100027655,65470.0,65399.05,,65405.35,-0.0665667166416716,-0.11807063707471721
BTC-USD,65395.58,0.002,2024-06-20 13:48:28.796443+00:00,SELL,65393.12,65395.85,65414.702355760186,65429.91333508921,-15.210979329021939,-11.679291945826511,65470.0,65395.58,,65399.05,-0.06272508178543432,-0.10918093608283501
BTC-USD,65395.58,0.002,2024-06-20 13:48:28.796443+00:00,SELL,65393.15,65394.16,65411.760454874006,65427.3701250826,-15.609670208592433,-12.465367598379697,65465.46,65395.58,,65395.58,-0.06231757780710008,-0.1001562102345213
BTC-USD,65392.21,0.00151959,2024-06-20 13:48:31.695940+00:00,BUY,65396.15,65396.16,65408.752692585695,65424.76567137278,-16.01297878708283,-13.174889836120323,65463.49,65392.21,,65395.58,-0.06053538918716754,-0.09182701274475055
BTC-USD,65399.82,2.406e-05,2024-06-20 13:48:32.766575+00:00,BUY,65396.07,65396.08,65407.3784321879,65422.91784386368,-15.539411675781594,-13.647794204052579,65454.67,65392.21,,65392.21,-0.05277292274991929,-0.08347377301173482
BTC-USD,65399.82,2.406e-05,2024-06-20 13:48:32.766575+00:00,BUY,65399.82,65399.83,65406.21559646668,65421.20689246637,-14.991295999687281,-13.91649456317952,65451.83,65392.21,,65399.82,-0.04097947735217984,-0.07472003483889773
BTC-USD,65405.37,2.52e-05,2024-06-20 13:48:35.634176+00:00,SELL,65405.36,65405.37,65406.085504702576,65420.03378932071,-13.948284618134494,-13.922852574170514,65447.06,65392.21,,65399.82,-0.026570948862369603,-0.06551669433127934
BTC-USD,65405.36,1.559e-05,2024-06-20 13:48:36.437600+00:00,BUY,65404.19,65407.02,65405.97388859449,65418.94684196362,-12.972953369127936,-13.732872733161999,65444.17,65392.21,,65405.37,-0.012714761086142971,-0.05590730199948579
BTC-USD,65407.9,6.1e-07,2024-06-20 13:48:38.263833+00:00,SELL,65404.36,65407.96,65406.270213426105,65418.12855737372,-11.85834394761332,-13.357966976052264,65436.21,65392.21,,65405.36,-0.004902599809311305,-0.04691826286664395
BTC-USD,65407.95,1.559e-05,2024-06-20 13:48:39.438518+00:00,BUY,65407.97,65411.6,65406.52864212978,65417.37459016085,-10.845948031070293,-12.855563187055871,65436.21,65392.21,,65407.9,-0.0009398594936276532,-0.039102533477492415
BTC-USD,65411.59,0.00717068,2024-06-20 13:48:41.000015+00:00,BUY,65411.59,65411.6,65407.30731257135,65416.94610200079,-9.638789429438475,-12.212208435532393,65436.21,65392.21,,65407.95,0.0034339241276636133,-0.0321024694005589
BTC-USD,65411.6,2.795e-05,2024-06-20 13:48:41.108237+00:00,SELL,65411.59,65411.6,65407.96772602191,65416.55009444517,-8.58236842326005,-11.486240433077924,65429.63,65392.21,-28.229058823533705,65411.59,0.01241307302291268,-0.024588653919724198
BTC-USD,65411.59,1.559e-05,2024-06-20 13:48:43.429968+00:00,BUY,65411.59,65416.41,65408.52499894162,65416.18268004183,-7.65768110020872,-10.720528566504084,65429.4,65392.21,-28.340911764695193,65411.6,0.022659541363454758,-0.016090942002668716
BTC-USD,65415.83,0.00328955,2024-06-20 13:48:44.977960+00:00,SELL,65411.59,65414.74,65409.64884525829,65416.15655559429,-6.507710335994489,-9.877964920402166,65419.31,65392.21,-28.40620588234742,65411.59,0.0320031166475538,-0.006837091419196581
BTC-USD,65431.27,0.00052484,2024-06-20 13:48:46.195016+00:00,SELL,65426.91,65426.92,65412.97517675701,65417.27606999471,-4.300893237697892,-8.76255058386131,65431.27,65392.21,-27.377705882347072,65415.83,0.043438917129113394,0.002784092568706687
BTC-USD,65457.95,1.558e-05,2024-06-20 13:48:47.442534+00:00,BUY,65454.64,65454.65,65419.89438033286,65420.28895369881,-0.3945733659493271,-7.088955140278914,65457.95,65392.21,-24.026647058817616,65431.27,0.0668723010487327,0.01356927040879794
BTC-USD,65469.57,0.0002,2024-06-20 13:48:48.710212+00:00,SELL,65467.43,65469.58,65427.53678335857,65423.93940157297,3.597381785599282,-4.951687755103275,65469.57,65392.21,-19.024852941176505,65457.95,0.09890089536093805,0.026116454831128705
BTC-USD,65469.56,3e-07,2024-06-20 13:48:49.852126+00:00,SELL,65467.17,65467.18,65434.001893611094,65427.318705160156,6.68318845093745,-2.6247125138951297,65469.57,65392.21,-13.999764705891721,65469.57,0.1233574869595746,0.03972367963570046
BTC-USD,65471.3,0.00452292,2024-06-20 13:48:51.533968+00:00,SELL,65469.55,65469.56,65439.74006382477,65430.576578852,9.163484972770675,-0.26707301656196875,65471.3,65392.21,-7.818117647060717,65469.56,0.1306496394728813,0.05327890356391973
BTC-USD,65471.74,3.527e-05,2024-06-20 13:48:52.998656+00:00,BUY,65471.74,65474.99,,,,,,,,,,
